90	Восточная часть Финского залива	19.08.2012 г.	6к	26.5 (м)	18.2 (°С)	2.1 (м)	Е.Ю. Воякина
91	Восточная часть Финского залива	10.10.2012 г.	1	30.0 (м)	12.0 (°С)	3.0 (м)	Е.Ю. Воякина
92	Восточная часть Финского залива	13.10.2012 г.	19	11.0 (м)	10.2 (°С)	2.5 (м)	Е.Ю. Воякина
93	Восточная часть Финского залива	13.10. 2012 г.	20	13.0 (м)	10.2 (°С)	2.3 (м)	Е.Ю. Воякина
94	Восточная часть Финского залива	13.10.2012 г.	21	14.0 (м)	10.2 (°С)	2.4 (м)	Е.Ю. Воякина
95	Восточная часть Финского залива	12.10.2012 г.	22	19.0 (м)	10.4 (°С)	1.7 (м)	Е.Ю. Воякина
96	Восточная часть Финского залива	12.10.2012 г.	24	21.0 (м)	11.0 (°С)	2.3 (м)	Е.Ю. Воякина
97	Восточная часть Финского залива	13.10.2012 г.	26	7.0 (м)	9.6 (°С)	2.1 (м)	Е.Ю. Воякина
98	Восточная часть Финского залива	12.10.2012 г.	2	38.0 (м)	11.8 (°С)	3.0 (м)	Е.Ю. Воякина
99	Восточная часть Финского залива	11.10.2012 г.	3	52.0 (м)	12.2 (°С)	4.4 (м)	Е.Ю. Воякина
100	Восточная часть Финского залива	11.10.2012 г.	4	62.0 (м)	12.3 (°С)	4.4 (м)	Е.Ю. Воякина
101	Восточная часть Финского залива	10.10. 2012 г.	А	27.0 (м)	12.4 (°С)	3.0 (м)	Е.Ю. Воякина
102	Восточная часть Финского залива	12.10.2012 г.	6л	27.0 (м)	12.0 (°С)	3.5 (м)	Е.Ю. Воякина
103	Восточная часть Финского залива	12.10.2012 г.	3к	14.0 (м)	11.8 (°С)	3.1 (м)	Е.Ю. Воякина
104	Восточная часть Финского залива	12.10.2012 г.	6к	27.0 (м)	11.7 (°С)	3.1 (м)	Е.Ю. Воякина
105	Выборгский залив	22.07.2012 г.	1	4.8 (м)	19.7 (°С)	0.8 (м)	Е.Ю. Воякина
106	Выборгский залив	22.07.2012 г.	2	4.9 (м)	18.4 (°С)	1.0 (м)	Е.Ю. Воякина
107	Выборгский залив	22.07.2012 г.	3	13.0 (м)	18.6 (°С)	1.4 (м)	Е.Ю. Воякина
108	Выборгский залив	22.07.2012 г.	ВС	11.5 (м)	19.0 (°С)	2.1 (м)	Е.Ю. Воякина
109	Выборгский залив	23.07.2012 г.	ПС	8.0 (м)	17.7 (°С)	1.1 (м)	Е.Ю. Воякина
110	Выборгский залив	22.07.2012 г.	СЗ	3.6 (м)	19.3 (°С)	0.5 (м)	Е.Ю. Воякина
111	Выборгский залив	22.07.2012 г.	Д	5.9 (м)	18.6 (°С)	1.2 (м)	Е.Ю. Воякина
112	Выборгский залив	22.07.2012 г.	2а	4.9 (м)	18.4 (°С)	1.2 (м)	Е.Ю. Воякина
113	Выборгский залив	21.08.2012 г.	1	5.0 (м)	18.2 (°С)	0.9 (м)	Е.Ю. Воякина
114	Выборгский залив	21.08.2012 г.	2	4.0 (м)	18.2 (°С)	0.8 (м)	Е.Ю. Воякина
115	Выборгский залив	21.08. 2012 г.	3	9.5 (м)	18.1 (°С)	1.0 (м)	Е.Ю. Воякина
116	Выборгский залив	21.08.2012 г.	ВС	7.5 (м)	17.8 (°С)	1.9 (м)	Е.Ю. Воякина
117	Выборгский залив	20.08.2012 г.	ПС	10.0 (м)	18.1 (°С)	1.0 (м)	Е.Ю. Воякина
118	Выборгский залив	21.08.2012 г.	СЗ	3.0 (м)	18.1 (°С)	0.8 (м)	Е.Ю. Воякина
119	Выборгский залив	21.08.2012 г.	Д	5.0 (м)	17.9 (°С)	1.0 (м)	Е.Ю. Воякина
120	Выборгский залив	21.08.2012 г.	2а	6.0 (м)	18.8 (°С)	1.0 (м)	Е.Ю. Воякина
121	Выборгский залив	10.10.2012 г.	2	4.0 (м)	10.2 (°С)	1.5 (м)	Е.Ю. Воякина
122	Выборгский залив	10.10.2012 г.	3	7.0 (м)	10.9 (°С)	1.5 (м)	Е.Ю. Воякина
123	Выборгский залив	10.10.2012 г.	ВС	10.0 (м)	11.6 (°С)	2.3 (м)	Е.Ю. Воякина
124	Выборгский залив	10.10.2012 г.	Д	5.0 (м)	10.4 (°С)	1.5 (м)	Е.Ю. Воякина
125	Выборгский залив	10.10.2012 г.	2а	5.8 (м)	10.4 (0С)	1.4 (м)	Е.Ю. Воякина
